Callback Solution Count (Gurobi),Current Best Obj. Val.,New Obj. Val.,Run Time (minutes),Solver Work Units,Best Bound,"Current Phase: 0 (in the NoRel heuristic), 1 (in the standard MIP search), or 2 (performing MIP solution improvement)",Explored Node Count
0,1e+100,35.4245260758611,0.00026666720708211263,0.003028872,-1e+100,1,0.0
1,35.4245260758611,16.6996654527176,0.01963333288828532,0.6723760519260028,0.0,1,0.0
2,16.6996654527176,16.699664186154124,0.6066499988238017,33.40416269174514,0.0,1,5878.0
3,16.699664186154124,16.699664186154124,0.8580666661262513,52.15289795965065,0.0,1,8500.0
